Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Afghanistan",AFG,..,..,183.532775237202,200.462375926026,221.65766209292,255.055107095483,274.000655690946,375.07826147255,387.849288097831,443.845150536332,554.59473461788,621.912413814308,663.141052810937,651.987861948108,628.146803888496,592.476164793256
"Albania",ALB,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78780296036,2972.74361818169,3595.03830207997,4370.53971115737,4114.13404061058,4094.34969883571,4437.14114631148,4247.63135624709,4413.06339738921,4578.63320812155,3952.80358410846
"Algeria",DZA,1780.37607069151,1754.58236476294,1794.811114232,2117.04822899287,2624.79523151946,3131.32817565242,3500.13460988746,3971.80348828223,4946.56401720759,3898.47880576084,4495.92145548343,5473.28180110324,5610.73330610332,5519.77757552373,5516.22946321562,4197.41997101868
"American Samoa",ASM,..,..,8800.72881035461,9043.68236654528,8832.81851941832,8733.01428721137,8673.92719531291,9187.16634446553,10019.502245442,12191.5977314597,10446.8632062572,10495.3047320935,11920.0610903131,12038.8715916596,12313.9973571825,13101.5418159165
"Andorra",AND,21620.4684882246,22809.0877599631,24784.9637863048,31954.1556558944,37630.7642639554,39583.9311942065,43084.2929123378,50562.8612073334,53721.4113275461,49750.6936704524,48237.8911734423,51428.1969548606,44902.3807653946,44747.7538640509,45680.5349900379,38885.5303237179
"Angola",AGO,556.88424373456,527.464118489685,872.657638045899,982.805589644709,1254.69612612243,1900.7238165071,2597.96358484271,3121.34873520681,4081.71749719537,3123.69889829937,3496.78479608032,4511.15322719034,4962.55207190082,5101.98387641128,5059.08044128816,3100.83068530533
"Antigua and Barbuda",ATG,11010.1974601342,10502.9388110146,10549.6661892802,10968.8926839103,11650.8484770858,12808.0101536637,14310.6862347854,16006.1361107498,16457.1040632589,14530.5986896353,13404.5160161036,13117.1469408968,13686.4765853976,13350.149136673,14004.8112122163,14861.8827074704
"Argentina",ARG,7666.51783423783,7168.97587232911,2579.48876933284,3333.15290388997,4258.16026060875,5086.62776073134,5890.97800169795,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.7404762598,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772
"Armenia",ARM,603.298025247115,676.150011307766,765.31617768154,910.171261745184,1166.63820390025,1608.16340888544,2109.5263849698,3064.27996076935,3908.94905676792,2917.36624501531,3143.02948216523,3462.6817742332,3643.71540446926,3833.15707143416,4017.22991251531,3666.14182536082
"Aruba",ABW,21023.1575127316,20913.2994971137,21377.0951851076,22050.8309318377,24104.6461765229,24975.6732567007,25833.445623022,27665.4264651752,29011.5592450359,25739.1372506975,24452.9283634427,26044.4359333351,25609.9557239373,26515.678080228,26942.3079764655,28421.3864931862
"Australia",AUS,21853.4499933573,19681.6450326534,20290.7804189053,23705.9072163917,30819.9934867745,34460.5429970479,36570.7630699009,41023.7548562293,49681.2190739771,42810.4658391817,52132.469607935,62598.6866176979,68047.3781775015,68156.3861047269,62515.3148315008,56708.96119674
